Match,Vendor Name,Category,Type,Sub-Type,Country
MARRIOTT REWARDS,Marriott Rewards,Travel,US,VEN002068,
A&W,A & W,(empty),(empty),(empty),Canada
A & W,A & W,Household,Dining Out,(empty),Canada
A-1 SELF STORAGE,A-1 SELF STORAGE,Business,Storage,(empty),US
Alex Sok,Alex Sok,Business,(empty),(empty),US
AMAZON.COM,Amazon,(empty),(empty),(empty),
Aries Gacilan,Aries Gacilan,Business,(empty),(empty),US
ASCAP,ASCAP,Business,(empty),(empty),US
BLACK WALNUT BAKERY CA,BLACK WALNUT BAKERY CA,Household,Dining Out,(empty),Canada
Brandon Brown,Brandon Brown,Business,(empty),(empty),US
CA DMV FEE,CA DMV,(empty),Fees,(empty),US
CAA,CAA,(empty),Auto,(empty),Canada
CDN TIRE,Canadian Tire,Household,Supplies,(empty),Canada
CASH APP,CASH APP,(empty),(empty),(empty),
Cash App*Cash,Cash App*Cash,(empty),(empty),(empty),US
CEDAR SPRINGS,Cedar Springs Water,Household,Groceries,(empty),Canada
CHAPTERS,CHAPTERS,Household,Supplies,(empty),Canada
CHECK,CHECK,Business,Studio Rent,(empty),US
CODY TERRY,CODY TERRY,Business,(empty),(empty),US
COSTCO WHOLESALE,COSTCO,Household,Groceries,(empty),Canada
COUSIN VINNY'S PIZZA,COUSIN VINNY'S PIZZA,Household,Dining Out,(empty),Canada
CRAIGSLIST.ORG,CRAIGSLIST,Business,Software & Subscriptions,(empty),US
CREDITREPAIR.COM,CREDITREPAIR.COM,Business,Software & Subscriptions,(empty),US
CROWN INCOME,Crown Income Tax,Business,Services,(empty),US
Zelle payment to Dad,Dad,Household,(empty),(empty),US
Dee Kei Waddell,Dee Kei Waddell,Business,(empty),(empty),US
DISTROKID,Distrokid,Business,Software & Subscriptions,(empty),US
DOMINO'S PIZZA,DOMINO'S PIZZA,(empty),(empty),(empty),US
DROPBOX,DROPBOX,Business,Software & Subscriptions,(empty),US
QuickPay with Zelle payment to Elijah Is...,Elijah Israel,(empty),Loan,Repay,US
QuickPay with Zelle payment from ELIJAH ...,Elijah Israel,(empty),Loan,(empty),US
ESSO CIRCLE K,ESSO CIRCLE K,Household,Auto,Gas,Canada
ESURANCE,Esurance,Household,Auto,Insurance,US
EXPRESSVPN,EXPRESSVPN,Business,Services,(empty),US
FARM BOY,FARM BOY,Household,Groceries,(empty),Canada
FOREIGN EXCHANGE RATE ADJUSTMENT FEE,FOREIGN EXCHANGE RATE ADJUSTMENT FEE,(empty),Fees,(empty),US
FRANCHISE TAX BD,FRANCHISE TAX BOARD,(empty),Tax,Refund,US
F.H. 10545 LLC,Fred Halimi,Business,Studio Rent,(empty),US
Fred Halimi,Fred Halimi,Business,Studio Rent,(empty),US
Zelle payment to Fred Halimi,FredHalimi,Business,Studio Rent,(empty),US
FRESHII,FRESHII,Household,(empty),(empty),Canada
FULL COMPASS SYSTEMS,FULL COMPASS SYSTEMS,Business,Software & Subscriptions,(empty),US
GAP ONLINE,GAP ONLINE,Household,Supplies,(empty),US
GOLDEN LAKE FISH AND,GOLDEN LAKE FISH AND CHIPS,Household,Dining Out,(empty),Canada
GOOGLE,GOOGLE,Business,Software & Subscriptions,(empty),
HARDPINK RECORDS,HARDPINK RECORDS,Business,Income,(empty),US
HOMESENSE,HOMESENSE,Household,Supplies,(empty),Canada
IMPARK,IMPARK,Household,Auto,Parking,Canada
INMOTIONHOSTING.COM,IN Motion Hosting,Business,Software & Subscriptions,(empty),US
INSUFFICIENT FUNDS,INSUFFICIENT FUNDS FEE,(empty),Fees,(empty),US
FEE REFUND,INSUFFICIENT FUNDS FEE,(empty),Fees,Refund,US
INTEREST PAYMENT,INTEREST PAYMENT,(empty),Interest Payments,(empty),US
INTERFACE ORAL SURGERY,INTERFACE ORAL SURGERY,Household,Medical & Health,(empty),Canada
INTERNATIONAL TRANSACTION FEE,INTERNATIONAL TRANSACTION FEE,(empty),Fees,(empty),US
TAX REF,IRS Tax Refund,(empty),Tax,Refund,US
Israel School of Excellence,Israel School of Excellence,(empty),Donations,(empty),US
Israel The Church Of Jesus,Israel The Church Of Jesus,(empty),Donations,Tithe,US
Jeff Jackson,Jeff Jackson,Business,(empty),(empty),US
Jordan's Secret Stuff,Jordan's Secret Stuff,Business,(empty),(empty),US
KAISAFIT.COM,KAISAFIT.COM,Business,Software & Subscriptions,(empty),US
Kiwico,Kiwico,Household,Supplies,(empty),Canada
"KiwiCo, Inc.","KiwiCo, Inc.",Household,Kids Activities Etc,(empty),Canada
kyle grayson,kyle grayson,Business,Employee,(empty),US
LCBO,LCBO,Household,Groceries,(empty),Canada
LOBLAWS,LOBLAWS,Household,Groceries,(empty),Canada
LOOK ORGANICS,LOOK ORGANICS,Household,Groceries,(empty),
Luis Moreno,Luis Moreno,Business,(empty),(empty),US
MERCOLA.COM,MERCOLA.COM,Household,Groceries,(empty),US
MILESTONES,MILESTONES,Household,Dining Out,(empty),Canada
MixOne LLC,MixOne LLC,Business,(empty),(empty),US
Monthly Maintenance Fee,Monthly Maintenance Fee,(empty),Fees,(empty),US
MONTHLY SERVICE FEE,MONTHLY SERVICE FEE,(empty),Fees,(empty),US
MOUS PRODUCTS LTD,MOUS PRODUCTS LTD,(empty),(empty),(empty),
MR. LUBE,MR. LUBE,Household,Auto,Services,Canada
MULTITRACKS.COM,MULTITRACKS.COM,Business,Software & Subscriptions,(empty),US
NEEDTAGS,NEEDTAGS,(empty),Auto,Fees,US
NETFLIX.COM,NETFLIX.COM,Household,Software & Subscriptions,(empty),Canada
PARTY CITY,PARTY CITY,(empty),Supplies,(empty),Canada
PAYPAL,PAYPAL,(empty),(empty),(empty),
PETRO-CANADA,PETRO-CANADA,Household,Auto,(empty),Canada
PHILO INC,PHILO INC,(empty),(empty),(empty),
QUARTER MASTER,QUARTERMASTER,Household,Groceries,(empty),Canada
Ralphs,Ralphs,Business,Supplies,(empty),US
Replacement ATM or Debit Card Fee,Replacement ATM or Debit Card Fee,(empty),Fees,(empty),US
REVIVE-EO.COM,REVIVE-EO.COM,(empty),(empty),(empty),
Zelle payment to Roger Patton,Roger Patton,Business,Services,(empty),US
SHELL,SHELL,Household,Auto,Gas,
